id,title,label,filtered_words_str
R129,New Report on Election,REAL,"military,wish,position.,already,answer.,experts,discuss,ongoing,developments,election."
R227,New Report on Climate Change,REAL,"something,attack,family,beyond,interview.,thousand,finish,culture,east,happen,stand,member.,look,learn,item,country,high,several.,experts,discuss,ongoing,developments,climate,change."
F231,Aliens Confirmed by Sources,FAKE,"among,serve,total.,child,whatever,bag,defense,past.,table,everyone,represent,guy,lot.,—,shocking,claims,aliens,surface,internet."
R066,New Report on Policy,REAL,"money,politics,way,adult,low,bill.,doctor,rise,item.,difficult,night,improve,lay.,experts,discuss,ongoing,developments,policy."
F095,Mind Control Confirmed by Sources,FAKE,"rich,identify,fall,local,real,certainly,customer,finish.,great,political,across,several,rock,show.,—,shocking,claims,mind,control,surface,internet."
R174,New Report on Policy,REAL,"floor,seek,pressure.,page,brother,provide,happy,up.,entire,perform,itself.,experts,discuss,ongoing,developments,policy."
R201,New Report on Public Health,REAL,"bill,later,establish.,cell,ago,know,enough,hour,investment.,account,ever.,experts,discuss,ongoing,developments,public,health."
R072,New Report on Education,REAL,"window,lot,home.,effect,green,still,mr,lose,or.,experts,discuss,ongoing,developments,education."
R064,New Report on Research,REAL,"young,friend,quality,research,enjoy.,popular,evening,kid.,fine,home,speech,establish.,experts,discuss,ongoing,developments,research."
F037,Miracle Drug Confirmed by Sources,FAKE,"red,whether,party,street,catch.,heart,term,ready,reveal,size.,—,shocking,claims,miracle,drug,surface,internet."
R170,New Report on Technology Breakthrough,REAL,"forget,visit,adult,form,size,security,call,case.,experts,discuss,ongoing,developments,technology,breakthrough."
F110,Celebrity Scandal Confirmed by Sources,FAKE,"tough,little,anyone,enjoy,machine,federal,itself.,describe,young,color.,hit,shake,many,necessary,side,power.,—,shocking,claims,celebrity,scandal,surface,internet."
F048,Secret Cure Confirmed by Sources,FAKE,"service,less.,within,suffer,realize,eye,message,past.,—,shocking,claims,secret,cure,surface,internet."
F082,Hoax Confirmed by Sources,FAKE,"dream,service,nothing.,grow,buy,little.,general,investment,science,then.,—,shocking,claims,hoax,surface,internet."
F187,Miracle Drug Confirmed by Sources,FAKE,"white,experience,majority,charge,special,course,worker.,trial,congress,indeed,bit,since,interest,say.,—,shocking,claims,miracle,drug,surface,internet."
F027,Miracle Drug Confirmed by Sources,FAKE,"hold,fear.,degree,foreign,show,woman,television,party.,—,shocking,claims,miracle,drug,surface,internet."
F202,Hoax Confirmed by Sources,FAKE,"american,result,owner,may,old,law.,care,leader,loss,environment,data.,relate,visit,blue.,—,shocking,claims,hoax,surface,internet."
F197,Secret Cure Confirmed by Sources,FAKE,"threat,technology,mouth.,explain,box,everything,return.,last,upon,wall,class,thank.,—,shocking,claims,secret,cure,surface,internet."
R128,New Report on Climate Change,REAL,"market,usually,impact,else.,oil,police,loss,economy,air.,experts,discuss,ongoing,developments,climate,change."
F157,Government Cover-Up Confirmed by Sources,FAKE,"administration,add,member,education,political,see,win,which.,continue,back,huge,financial,end,leader,tend,response.,—,shocking,claims,government,cover-up,surface,internet."
F117,Hoax Confirmed by Sources,FAKE,"security,western,indeed,never,teach,seat.,near,major,probably.,receive,despite,film,garden,third,group,you.,—,shocking,claims,hoax,surface,internet."
F173,Secret Cure Confirmed by Sources,FAKE,"stand,office,happen,boy,country,science.,—,shocking,claims,secret,cure,surface,internet."
F024,Aliens Confirmed by Sources,FAKE,"lot,ten,daughter,collection,structure,alone,compare,finish.,authority,left,blood,main.,—,shocking,claims,aliens,surface,internet."
F096,Celebrity Scandal Confirmed by Sources,FAKE,"officer,remain,team,exactly,gas,lawyer,perhaps.,clear,old,write,technology,never.,spring,early,young,us,level.,—,shocking,claims,celebrity,scandal,surface,internet."
R247,New Report on Public Health,REAL,"national,foot,expert,current.,former,born,rest,her.,experts,discuss,ongoing,developments,public,health."
F226,Government Cover-Up Confirmed by Sources,FAKE,"baby,arrive,career,time.,ask,run,call.,draw,others,popular,take.,laugh,guy,day,measure.,—,shocking,claims,government,cover-up,surface,internet."
F100,Flat Earth Confirmed by Sources,FAKE,"hot,morning.,question,kind,allow,event,writer,or.,remain,give,reveal,through.,might,include,allow,serious.,—,shocking,claims,flat,earth,surface,internet."
F246,Government Cover-Up Confirmed by Sources,FAKE,"beat,field,believe,simply,him.,policy,television,point,present,glass.,position,discuss,reason,single,analysis,senior.,type,store,mother,business,police.,—,shocking,claims,government,cover-up,surface,internet."
F183,Aliens Confirmed by Sources,FAKE,"summer,study,side,sister.,message,attack,conference,meet,space.,send,bring,campaign,effort,management,important.,—,shocking,claims,aliens,surface,internet."
R063,New Report on Policy,REAL,"left,mouth,tend,public,mr,general.,cover,government,test,price,real.,significant,late,tell,light.,experts,discuss,ongoing,developments,policy."
R005,New Report on Election,REAL,"spend,already,serve,late,information,culture.,institution,today,reveal,street.,prepare,dog,power,method.,experts,discuss,ongoing,developments,election."
R084,New Report on Election,REAL,"trial,charge,idea,story,opportunity,join.,especially,boy,design,sort,option,consumer,run,couple.,experts,discuss,ongoing,developments,election."
R124,New Report on Education,REAL,"star,field,red,quickly,dinner.,rest,wish,lawyer.,experts,discuss,ongoing,developments,education."
R118,New Report on Research,REAL,"bag,whole,write,dinner.,experts,discuss,ongoing,developments,research."
F001,Aliens Confirmed by Sources,FAKE,"common,remember,few.,—,shocking,claims,aliens,surface,internet."
F007,Immortal Jellyfish Confirmed by Sources,FAKE,"collection,art,work,true,whom.,local,might,rock,throw,stop.,tax,east,standard,first,build,occur.,—,shocking,claims,immortal,jellyfish,surface,internet."
F046,Mind Control Confirmed by Sources,FAKE,"edge,save,daughter,color.,ever,cup,society,score,figure.,go,doctor,defense,cell,last,important,measure.,—,shocking,claims,mind,control,surface,internet."
R103,New Report on Research,REAL,"tough,television,moment,onto,color,forget.,best,wall,executive,set,form.,laugh,represent,radio,lot,defense,weight.,experts,discuss,ongoing,developments,research."
R037,New Report on Budget Report,REAL,"establish,send,charge,score,statement.,project,appear,writer,close,arm,subject,but.,mr,like,career,join,scene,entire,people.,experts,discuss,ongoing,developments,budget,report."
F193,Secret Cure Confirmed by Sources,FAKE,"smile,police,table.,key,call,economy,building,next,stock,congress.,—,shocking,claims,secret,cure,surface,internet."
R166,New Report on Election,REAL,"cost,figure,threat,plan,policy,hold,reason.,particularly,bit,north,image,property.,understand,amount,window,scene,degree.,experts,discuss,ongoing,developments,election."
F017,Immortal Jellyfish Confirmed by Sources,FAKE,"impact,stop,decade,dinner,single,share.,game,spring.,site,imagine,table,different,morning,worry.,—,shocking,claims,immortal,jellyfish,surface,internet."
R008,New Report on Economic Growth,REAL,"young,yes,various,street.,keep,focus,ahead,board,idea.,experts,discuss,ongoing,developments,economic,growth."
F071,Celebrity Scandal Confirmed by Sources,FAKE,"air,exactly,food,discussion,western,area,must.,yet,smile,discussion,discover,whatever.,yes,take,management,us,window,population.,remember,behind,leave,technology,contain,away.,—,shocking,claims,celebrity,scandal,surface,internet."
F028,Mind Control Confirmed by Sources,FAKE,"recently,significant,congress,base,want,free.,thus,ago,cold,around,provide,teacher.,—,shocking,claims,mind,control,surface,internet."
F227,Immortal Jellyfish Confirmed by Sources,FAKE,"board,join,table,probably,support,push.,cost,top,pm,morning.,look,add,expect.,style,easy,cell,building,challenge,theory.,—,shocking,claims,immortal,jellyfish,surface,internet."
R200,New Report on Public Health,REAL,"cup,air,baby,kid,might,throughout,write.,nice,technology,media,what.,research,begin,education,degree,much,fall.,experts,discuss,ongoing,developments,public,health."
R225,New Report on Climate Change,REAL,"sense,road,marriage,money,model,others.,generation,partner,six,happy,theory.,experts,discuss,ongoing,developments,climate,change."
R062,New Report on Budget Report,REAL,"whether,describe,physical,security,rather,final,democrat.,artist,partner,write,enjoy,anything,fast,election.,scientist,bank,discuss,box,individual,space,himself.,experts,discuss,ongoing,developments,budget,report."
F033,Hoax Confirmed by Sources,FAKE,"hot,music,former.,pretty,respond,take,customer,staff.,discussion,resource,sit,current,citizen,experience.,—,shocking,claims,hoax,surface,internet."
F012,Hoax Confirmed by Sources,FAKE,"nature,science,interest,bank,poor.,affect,ten,capital,pass.,—,shocking,claims,hoax,surface,internet."
R121,New Report on Research,REAL,"new,total,upon,happen.,event,challenge,sign,particularly,different,continue.,experts,discuss,ongoing,developments,research."
F210,Aliens Confirmed by Sources,FAKE,"sense,hour,bad,determine,traditional,question.,several,police,produce,often,available,include.,enter,wish,court,cover,pm,way,training.,—,shocking,claims,aliens,surface,internet."
F151,Hoax Confirmed by Sources,FAKE,"north,professor,whole,fact,officer,arm.,apply,perform.,nation,mean,rock,share.,—,shocking,claims,hoax,surface,internet."
F099,Secret Cure Confirmed by Sources,FAKE,"human,right,available,field,expect.,economic,capital,keep,business,computer.,—,shocking,claims,secret,cure,surface,internet."
R090,New Report on Technology Breakthrough,REAL,"hundred,answer,white,vote,statement,sort.,story,drive,since,chair,perform,city,enough,full.,experts,discuss,ongoing,developments,technology,breakthrough."
R125,New Report on Budget Report,REAL,"wonder,college,course,research,people.,away,special,serve,wrong,section,debate,wish.,experts,discuss,ongoing,developments,budget,report."
R091,New Report on Climate Change,REAL,"strong,study,hour,check.,single,minute,center,high,fly,long.,experts,discuss,ongoing,developments,climate,change."
R157,New Report on Climate Change,REAL,"choose,whether,six,notice,student,might.,meet,middle,put,quite.,perhaps,particular,talk,then.,experts,discuss,ongoing,developments,climate,change."
F098,Miracle Drug Confirmed by Sources,FAKE,"network,per,right,whose,color,event,firm,cold.,color,begin,population,power,admit.,wait,push,various,oil,son.,—,shocking,claims,miracle,drug,surface,internet."
F164,Immortal Jellyfish Confirmed by Sources,FAKE,"go,interview,service,really,ever,kid.,produce,hour,seem,live,change,smile,call,mean.,beat,open,congress.,—,shocking,claims,immortal,jellyfish,surface,internet."
R050,New Report on Economic Growth,REAL,"evening,rest,let,treatment,plan,event,fill,treatment.,current,church,situation,family,professional,brother,learn.,local,social.,experts,discuss,ongoing,developments,economic,growth."
R249,New Report on Climate Change,REAL,"beautiful,woman,factor.,nice,onto,heavy.,experts,discuss,ongoing,developments,climate,change."
R093,New Report on Election,REAL,"phone,authority,lose,worry,region.,identify,machine,believe.,experts,discuss,ongoing,developments,election."
R131,New Report on Education,REAL,"within,happen,remember,feel,pick.,argue,nation,well,everybody,include,worker.,service,including,society,meet,whether,tv,pay,discover.,experts,discuss,ongoing,developments,education."
F107,Flat Earth Confirmed by Sources,FAKE,"act,miss,pick,chair,success,dream.,bring,others.,wide,talk,black,him.,—,shocking,claims,flat,earth,surface,internet."
F153,Hoax Confirmed by Sources,FAKE,"argue,arrive,land,face,present.,peace,sit,response.,—,shocking,claims,hoax,surface,internet."
F091,Flat Earth Confirmed by Sources,FAKE,"feeling,air,memory,history.,yard,blood,ok,understand.,—,shocking,claims,flat,earth,surface,internet."
R246,New Report on Economic Growth,REAL,"hospital,maybe,tax,between.,maybe,loss,generation,admit,right,room.,technology,term,research,practice,population,able,hundred.,experts,discuss,ongoing,developments,economic,growth."
